,vot,f0,dec,condition,subject,accuracy
542,4,6,0.3304803,noise,67_33,0.3304803
543,4,6,0.2262299,clear,67_33,0.2262299
544,2,4,0.29080224,clear,68_32,0.29080224
545,2,4,0.13877298,noise,68_32,0.13877298
546,6,4,0.7303245,clear,68_32,0.29080224
547,6,4,0.87496287,noise,68_32,0.13877298
548,4,2,0.6549421,noise,68_32,0.33800492
549,4,2,0.7959392,clear,68_32,0.23977087
550,4,6,0.33800492,noise,68_32,0.33800492
551,4,6,0.23977087,clear,68_32,0.23977087
552,2,4,0.29022244,clear,69_31,0.29022244
553,2,4,0.13445617,noise,69_31,0.13445617
